dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Sonu Agarwal,Gynecologist/Obstetrician,"MBBS, DGO, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",27 years experience overall,"Nehru Place,",Delhi,96% ,16 Patient Stories,₹1500
Dr. Ila Gupta,Gynecologist/Obstetrician,"MBBS, MS - Obstetrics & Gynaecology",30 years experience overall,Delhi,Delhi,99% ,61 Patient Stories,₹1500
Dr. Hamrah Siddiqui,Gynecologist/Obstetrician,"MBBS, MD - Obstetrics & Gynaecology",37 years experience overall,Delhi,Delhi,92% ,22 Patient Stories,₹600
Dr. Tanya Buckshee Rohatgi,Gynecologist/Obstetrician,"MBBS, DNB - Obstetrics & Gynecology, MD - Obstetrics & Gynaecology",24 years experience overall,"Panchsheel Park,",Delhi,75% ,1 Patient Story,₹2000
Dr. Seema Theraja,Gynecologist/Obstetrician,"MBBS, MD - Obstetrics & Gynaecology",32 years experience overall,"Moti Nagar,",Delhi,93% ,18 Patient Stories,₹1200
Dr. Anita K Sharma,Gynecologist/Obstetrician,"MBBS, MD - Obstetrics & Gynaecology",42 years experience overall,"Saket,",Delhi,81% ,98 Patient Stories,₹1000
Dr. Seema Sharma,Gynecologist/Obstetrician,"MBBS, DGO, MD - Physiology",28 years experience overall,"Moti Nagar,",Delhi,96% ,344 Patient Stories,₹1200
Dr. Sunita Gupta,Gynecologist/Obstetrician,"MBBS, MD - Obstetrics & Gynaecology",40 years experience overall,"Panchsheel Park,",Delhi,87% ,27 Patient Stories,₹1300
Dr. Abhiyan Kumar Pattnaik,Ophthalmologist,"DO, MBBS",22 years experience overall,"Lajpat Nagar III,",Delhi,95% ,21 Patient Stories,₹500
Dr. Rakesh Mahajan,Ophthalmologist,"MBBS, DO",36 years experience overall,"Pitampura,",Delhi,100% ,1 Patient Story,₹500
Dr. Varun Gogia,Ophthalmologist,"MBBS, MD - Ophthalmology",15 years experience overall,"Lajpat Nagar 4,",Delhi,99% ,425 Patient Stories,₹800
Dr. Lagan Paul Mutreja,Ophthalmologist,"MBBS, MS - Ophthalmology",12 years experience overall,"Dwarka,",Delhi,100% ,,₹500
Dr. Deepankur Mahajan,Ophthalmologist,"MD - Ophthalmology, MBBS",16 years experience overall,"Pitampura,",Delhi,91% ,7 Patient Stories,₹1000
Dr. Shweta Jain,Ophthalmologist,"MBBS, DNB - Ophthalmology",10 years experience overall,"Paschim Vihar,",Delhi,97% ,64 Patient Stories,₹499
Dr. Alkesh Chaudary,Ophthalmologist,"MS - Ophthalmology, MBBS",29 years experience overall,"Greater Kailash Part 2,",Delhi,86% ,,₹1000
Dr. Rajat Jain,Ophthalmologist,"MBBS, MS - Ophthalmology",15 years experience overall,"Delhi,",Delhi,86% ,11 Patient Stories,₹599
Dr. Robin Aggarwal,Ophthalmologist,"MD - Physician, DO",12 years experience overall,"Panchsheel Park,",Delhi,100% ,2 Patient Stories,₹699
Dr. Manik Mittal,Ophthalmologist,"MBBS, MD - Ophthalmology",12 years experience overall,"Paschim Vihar,",Delhi,98% ,45 Patient Stories,₹699
Dr. Abhiyan Kumar Pattnaik,Ophthalmologist,"DO, MBBS",22 years experience overall,"Lajpat Nagar III,",Delhi,95% ,21 Patient Stories,₹500
Dr. Rakesh Mahajan,Ophthalmologist,"MBBS, DO",36 years experience overall,"Pitampura,",Delhi,100% ,1 Patient Story,₹500
Dr. Varun Gogia,Ophthalmologist,"MBBS, MD - Ophthalmology",15 years experience overall,"Lajpat Nagar 4,",Delhi,99% ,425 Patient Stories,₹800
Dr. Lagan Paul Mutreja,Ophthalmologist,"MBBS, MS - Ophthalmology",12 years experience overall,"Dwarka,",Delhi,100% ,,₹500
Dr. Deepankur Mahajan,Ophthalmologist,"MD - Ophthalmology, MBBS",16 years experience overall,"Pitampura,",Delhi,91% ,7 Patient Stories,₹1000
Dr. Shweta Jain,Ophthalmologist,"MBBS, DNB - Ophthalmology",10 years experience overall,"Paschim Vihar,",Delhi,97% ,64 Patient Stories,₹499
Dr. Alkesh Chaudary,Ophthalmologist,"MS - Ophthalmology, MBBS",29 years experience overall,"Greater Kailash Part 2,",Delhi,86% ,,₹1000
Dr. Rajat Jain,Ophthalmologist,"MBBS, MS - Ophthalmology",15 years experience overall,"Delhi,",Delhi,86% ,11 Patient Stories,₹599
Dr. Robin Aggarwal,Ophthalmologist,"MD - Physician, DO",12 years experience overall,"Panchsheel Park,",Delhi,100% ,2 Patient Stories,₹699
Dr. Manik Mittal,Ophthalmologist,"MBBS, MD - Ophthalmology",12 years experience overall,"Paschim Vihar,",Delhi,98% ,45 Patient Stories,₹699
Dr. Saurabh Singh,Ophthalmologist,"MBBS, MS - Ophthalmology",20 years experience overall,"Panchsheel Park,",Delhi,75% ,3 Patient Stories,₹699
Dr. Ankush Mutreja,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",14 years experience overall,"Dwarka,",Delhi,92% ,84 Patient Stories,₹699
Dr. Pankaj Jain,Ophthalmologist,"MBBS, MS - Ophthalmology",46 years experience overall,"Karol Bagh,",Delhi,67% ,4 Patient Stories,₹1050
Dr. Rakesh Kumar,Ophthalmologist,"MBBS, MS - Ophthalmology",17 years experience overall,"Panchsheel Park,",Delhi,97% ,86 Patient Stories,₹1000
Dr. Sunita Lulla Gur,Ophthalmologist,"MBBS, MS - Ophthalmology",32 years experience overall,"Sarita Vihar,",Delhi,99% ,606 Patient Stories,₹600
Dr. Tarun Kapur,Ophthalmologist,"MBBS, MS - Ophthalmology",24 years experience overall,"Panchsheel Park,",Delhi,90% ,1 Patient Story,₹1000
Dr. Ashiwini Seth,Ophthalmologist,"MBBS, MS - Ophthalmology",38 years experience overall,"Karol Bagh,",Delhi,33% ,2 Patient Stories,₹750
Dr. Tyag Murti Sharma,Ophthalmologist,"MBBS, MD - Ophthalmology",34 years experience overall,"Janakpuri,",Delhi,99% ,123 Patient Stories,₹900
Dr. Neeraj Wadhwa,Ophthalmologist,"MD - Ophthalmology, MBBS",22 years experience overall,"Malviya Nagar,",Delhi,87% ,272 Patient Stories,₹650
Dr. Amanjot Singh,Ophthalmologist,"MS - Ophthalmology, MBBS",34 years experience overall,"Panchsheel Park,",Delhi,100% ,2 Patient Stories,₹1000
Dr. Abhishek Sharma,Ophthalmologist,"MBBS, MS - Ophthalmology",17 years experience overall,"Dwarka,",Delhi,98% ,133 Patient Stories,₹700
Dr. Lubat Seth,Ophthalmologist,"MBBS, DOMS, MS - Ophthalmology",36 years experience overall,"Sarita Vihar,",Delhi,,,₹2000
Dr. Aniel Malhotra,Ophthalmologist,"MBBS, DO, MS - Ophthalmology",32 years experience overall,"Sarita Vihar,",Delhi,100% ,,₹2000
Dr. Ashu Agarwal,Ophthalmologist,"MBBS, MS - Ophthalmology",31 years experience overall,"Sarita Vihar,",Delhi,100% ,,₹1500
Dr. Vishal Nigam,Ophthalmologist,"MBBS, DNB - Ophthalmology",21 years experience overall,"Neb Sarai,",Delhi,98% ,91 Patient Stories,₹600
Dr. Vivek Garg,Ophthalmologist,"MBBS, DOMS",17 years experience overall,"Pusa Road,",Delhi,100% ,1 Patient Story,₹1000
Dr. Ranjana Mittal,Ophthalmologist,"MBBS, MS - Ophthalmology",41 years experience overall,"Sarita Vihar,",Delhi,,,₹2000
Dr. Poonam Gupta,Ophthalmologist,"MS - Ophthalmology, DNB - Ophthalmology",27 years experience overall,"Shalimar Bagh,",Delhi,,,₹700
Dr. Sangeeta Mutreja,Ophthalmologist,"MBBS, DO",37 years experience overall,"Dwarka,",Delhi,89% ,20 Patient Stories,₹500
Dr. Neha Goel,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FRCS - General Surgery, MNAMS - Ophthalmology",13 years experience overall,"Bali Nagar,",Delhi,71% ,5 Patient Stories,₹600
Dr. Mukesh Taneja,Ophthalmologist,"MBBS, DO, DNB - Ophthalmology",31 years experience overall,"Bali Nagar,",Delhi,100% ,4 Patient Stories,₹600
Dr. Meetu Bansal,Ophthalmologist,"MBBS, DO",23 years experience overall,"Malviya Nagar,",Delhi,95% ,62 Patient Stories,₹650
Dr. Ranjit Verma,Ophthalmologist,"MBBS, MS - Ophthalmology",33 years experience overall,"Panchsheel Park,",Delhi,,,₹1000
Dr. Laxman Vekaria,Ophthalmologist,"MBBS, MD - Ophthalmology",11 years experience overall,"Janakpuri,",Delhi,100% ,3 Patient Stories,₹500
Dr. Indira Mohan,Ophthalmologist,"MBBS, DOMS",34 years experience overall,"Lajpat Nagar,",Delhi,92% ,5 Patient Stories,₹1800
Dr. Ishita Anand,Ophthalmologist,"MBBS, DNB - Ophthalmology",13 years experience overall,"Malviya Nagar,",Delhi,95% ,38 Patient Stories,₹650
Dr. Gaurav Garg,Ophthalmologist,"MBBS, MD - Ophthalmology",7 years experience overall,"Mayur Vihar Ph-I,",Delhi,100% ,7 Patient Stories,₹600
Dr. Sanjiv Gupta,Ophthalmologist,"MBBS, MS - Ophthalmology",28 years experience overall,"Safdarjung Development Area,",Delhi,95% ,63 Patient Stories,₹1000
Dr. Navin Sakhuja,Ophthalmologist,"MD - Ophthalmology, DNB - Ophthalmology, MBBS",36 years experience overall,"Panchsheel Park,",Delhi,99% ,33 Patient Stories,₹2000
Dr. Neha Midha,Ophthalmologist,"MD - Ophthalmology, MBBS",8 years experience overall,"Rohini Sector 3,",Delhi,100% ,7 Patient Stories,₹500
Dr. SK Khanna,Ophthalmologist,"MBBS, MS - Ophthalmology",47 years experience overall,"Patel Nagar West,",Delhi,99% ,83 Patient Stories,₹800
Dr. Ashwini Jain,Ophthalmologist,"MBBS, DOMS",28 years experience overall,"Shahdara,",Delhi,81% ,16 Patient Stories,₹400
Dr. Yogesh Solanki,Ophthalmologist,"MBBS, DO",26 years experience overall,"Rohini,",Delhi,83% ,7 Patient Stories,₹500
Dr. Alaka Priyadarsini Dash,Ophthalmologist,"MBBS, DNB - Ophthalmology",17 years experience overall,"Dwarka Sector 17,",Delhi,99% ,99 Patient Stories,₹600
Dr. Deepa Ekbote,Ophthalmologist,"MBBS, MS - Ophthalmology",25 years experience overall,"Nehru Place,",Delhi,92% ,7 Patient Stories,₹1000
Dr. Priyanka Singh,Ophthalmologist,"MBBS, MS - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",11 years experience overall,"Saket,",Delhi,100% ,4 Patient Stories,₹700
Dr. Narrotama Sindhu,Ophthalmologist,"MBBS, MD - Ophthalmology, DO",30 years experience overall,"Patparganj,",Delhi,75% ,3 Patient Stories,₹800
Dr. Purnima Sood,Ophthalmologist,"MBBS, MD - Ophthalmology",31 years experience overall,"Lajpat Nagar,",Delhi,100% ,,₹1700
Dr. Ankita Sharma,Ophthalmologist,"MBBS, MS - Ophthalmology",14 years experience overall,"Vikas Puri,",Delhi,100% ,3 Patient Stories,₹500
Dr. Medha Rajyan,Ophthalmologist,"MBBS, MS - Ophthalmology",12 years experience overall,"Janakpuri,",Delhi,100% ,7 Patient Stories,₹500
Dr. Nidhi Gupta,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",21 years experience overall,"Nirman Vihar,",Delhi,100% ,5 Patient Stories,₹800
Dr. Prateek Kakkar,Ophthalmologist,"MBBS, MD - Ophthalmology",12 years experience overall,"Ashok Vihar Phase 1,",Delhi,100% ,3 Patient Stories,₹600
Dr. Kanika Chhabra,Ophthalmologist,"MBBS, MS - Ophthalmology",11 years experience overall,"Patel Nagar West,",Delhi,100% ,3 Patient Stories,₹600
Dr. Vaibhav Khanna,Ophthalmologist,"MBBS, DO, DNB - Ophthalmology",7 years experience overall,"Patel Nagar West,",Delhi,100% ,8 Patient Stories,₹600
Dr. Somya Ish,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",8 years experience overall,"Safdarjung Enclave,",Delhi,,,₹1000
Dr. Ankita Sabharwal,Ophthalmologist,"MBBS, MS - Ophthalmology",18 years experience overall,Delhi,Delhi,100% ,1 Patient Story,₹900
Dr. Vijay Sabharwal,Ophthalmologist,"MBBS, MD - Ophthalmology",48 years experience overall,Delhi,Delhi,100% ,,₹800
Dr. Ravi Thadani,Ophthalmologist,"MBBS, MS - Ophthalmology",39 years experience overall,Delhi,Delhi,96% ,139 Patient Stories,₹700
Dr. Deepak Pandita,Ophthalmologist,"MBBS, MS - Ophthalmology",23 years experience overall,Delhi,Delhi,50% ,1 Patient Story,₹700
Dr. Sanjay Dhawan,Ophthalmologist,"MBBS, MS - Ophthalmology",35 years experience overall,"Panchsheel Park,",Delhi,100% ,11 Patient Stories,₹1200
Dr. Priya Dua,Ophthalmologist,"MBBS, MS - Ophthalmology",20 years experience overall,Delhi,Delhi,99% ,141 Patient Stories,₹600
Dr. Parul Sharma,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",25 years experience overall,"Panchsheel Park,",Delhi,89% ,45 Patient Stories,₹1000
Dr. Nikhil Pal,Ophthalmologist,"MBBS, MD - Ophthalmology",22 years experience overall,"Panchsheel Park,",Delhi,90% ,6 Patient Stories,₹1000
Dr. Pravin Kumar,Ophthalmologist,"MBBS, MS - Ophthalmology",47 years experience overall,Delhi,Delhi,100% ,9 Patient Stories,₹700
Dr. Sanjay Bajaj,Ophthalmologist,"MBBS, DO",23 years experience overall,Delhi,Delhi,93% ,32 Patient Stories,₹500
Dr. Sapna Chanana,Ophthalmologist,"MBBS, MS - Ophthalmology",29 years experience overall,Delhi,Delhi,95% ,16 Patient Stories,₹600
Dr. Mayank Bansal,Ophthalmologist,"MBBS, MD - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",12 years experience overall,"Panchsheel Park,",Delhi,100% ,13 Patient Stories,₹1000
Dr. Aparna Gupta,Ophthalmologist,"MBBS, MS - Ophthalmology",23 years experience overall,"Panchsheel Park,",Delhi,85% ,9 Patient Stories,₹1000
Dr. Shashi Nath Jha,Ophthalmologist,"MBBS, MD - Ophthalmology",40 years experience overall,Delhi,Delhi,93% ,42 Patient Stories,₹1000
Dr. Deepali Garg Mathur,Ophthalmologist,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, MNAMS - Ophthalmology",26 years experience overall,"Panchsheel Park,",Delhi,100% ,1 Patient Story,₹1000
Dr. Neha Mohan,Ophthalmologist,"MBBS, MS - Ophthalmology",15 years experience overall,Delhi,Delhi,100% ,,₹600
Dr. Aarti Surbhit Choudhry,Ophthalmologist,"MBBS, DNB - Ophthalmology",28 years experience overall,"Nehru Place,",Delhi,96% ,289 Patient Stories,₹1000
Dr. Charu Mithal,Ophthalmologist,"MBBS, MS - Ophthalmology",21 years experience overall,"Panchsheel Park,",Delhi,82% ,8 Patient Stories,₹1000
Dr. S.P. Chaudhary,Ophthalmologist,"MBBS, MS - Ophthalmology",22 years experience overall,Delhi,Delhi,96% ,5 Patient Stories,₹800
Dr. Digvijay Singh,Ophthalmologist,"MBBS, FAICO (Fellow of All India Collegium of Ophthalmology)",15 years experience overall,"Malviya Nagar,",Delhi,99% ,110 Patient Stories,₹1100
Dr. Pawan Gupta,Ophthalmologist,"MBBS, MS - Ophthalmology",22 years experience overall,Delhi,Delhi,76% ,10 Patient Stories,₹400
Dr. Surya Kant Jha,Ophthalmologist,"MS - Ophthalmology, MBBS",18 years experience overall,Delhi,Delhi,100% ,,₹600
Dr. Sharad Lakhotia,Ophthalmologist,"MBBS, MS - Ophthalmology",37 years experience overall,"Greater Kailash Part 2,",Delhi,97% ,59 Patient Stories,₹800
Dr. Vishal Grover,Ophthalmologist,"MBBS, DO, DNB - Ophthalmology",32 years experience overall,"Greater Kailash Part 2,",Delhi,97% ,480 Patient Stories,₹1200
Dr. Rohit Nanda,Ophthalmologist,"MBBS, DO",21 years experience overall,"Dwarka Sector 12,",Delhi,93% ,30 Patient Stories,₹800
Dr. Rishi Mohan,Ophthalmologist,"MBBS, MD - Ophthalmology, DNB - Ophthalmology",40 years experience overall,"Lajpat Nagar,",Delhi,91% ,11 Patient Stories,₹2500
Dr. Varshini Shanker,Ophthalmologist,"MBBS, DNB - Ophthalmology",20 years experience overall,"Neb Sarai,",Delhi,96% ,30 Patient Stories,₹1000
Dr. Manav Sachdev,Ophthalmologist,"DNB - Ophthalmology, MBBS, MS - Ophthalmology",16 years experience overall,Delhi,Delhi,100% ,2 Patient Stories,₹600
Dr. Sonika Gupta,Ophthalmologist,"MBBS, MS - Ophthalmology",23 years experience overall,"Panchsheel Park,",Delhi,80% ,4 Patient Stories,₹1000
Dr. Neha Shukla,Ophthalmologist,"MBBS, DOMS",16 years experience overall,"Vasant Kunj,",Delhi,98% ,27 Patient Stories,₹700
Dr. Vanuli Bajpai,Ophthalmologist,"MBBS, MS - Ophthalmology",18 years experience overall,"Dwarka Sector 6,",Delhi,80% ,3 Patient Stories,₹900
Dr. Pooja Mehta,Ophthalmologist,"MBBS, DNB - Ophthalmology",18 years experience overall,"East Of Kailash,",Delhi,98% ,14 Patient Stories,₹1000
Dr. Puneet Jain,Ophthalmologist,MD - Ophthalmology,11 years experience overall,"Patparganj,",Delhi,100% ,11 Patient Stories,₹650
Dr. Sanjay Kumar Gupta,Ophthalmologist,"MBBS, DO, DNB - Ophthalmology",23 years experience overall,Delhi,Delhi,67% ,2 Patient Stories,₹500
Dr. Uma Mallaiah,Ophthalmologist,"MBBS, DO",28 years experience overall,"Greater Kailash Part 2,",Delhi,50% ,1 Patient Story,₹1500
Dr. Chandrakant Kar,Urologist,"MCh - Urology, MS - General Surgery, MBBS",24 years experience overall,"Dwarka,",Delhi,81% ,49 Patient Stories,₹699
Dr. H.S.Bhatyal,Urologist,"MBBS, MS - General Surgery, MCh - Urology",50 years experience overall,"Pusa Road,",Delhi,56% ,3 Patient Stories,₹1500
Dr. Arun Antony,Urologist,"MCh - Urology/Genito-Urinary Surgery, MS - General Surgery, MBBS",13 years experience overall,"Pusa Road,",Delhi,99% ,180 Patient Stories,₹1200
Dr. Aman Gupta,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 years experience overall,"Vasant Kunj,",Delhi,97% ,11 Patient Stories,₹1000
Dr. Rajinder Yadav,Urologist,"MBBS, MS - General Surgery, MCh - Urology",49 years experience overall,"Shalimar Bagh,",Delhi,61% ,12 Patient Stories,₹1500
Dr. Gautam Banga,Urologist,"MBBS, MS - General Surgery, MCh - Urology",17 years experience overall,"Greater Kailash Part 1,",Delhi,91% ,28 Patient Stories,₹1300
Dr. Rajesh Taneja,Urologist,"MBBS, MS - General Surgery, MCh - Urology",36 years experience overall,"Sarita Vihar,",Delhi,80% ,4 Patient Stories,₹1500
Dr. Parag Gupta,Urologist,"MBBS, MS - General Surgery, MCh - Urology",24 years experience overall,"Janakpuri,",Delhi,93% ,287 Patient Stories,₹800
Dr. Pragnesh Desai,Urologist,"MCh - Urology, DNB - General Surgery, MBBS",18 years experience overall,"Panchsheel Park,",Delhi,100% ,2 Patient Stories,₹1000
Dr. Ashish Saini,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",19 years experience overall,"Greater Kailash Part 1,",Delhi,94% ,118 Patient Stories,₹1100
Dr. Chandrakant Kar,Urologist,"MCh - Urology, MS - General Surgery, MBBS",24 years experience overall,"Dwarka,",Delhi,81% ,49 Patient Stories,₹699
Dr. H.S.Bhatyal,Urologist,"MBBS, MS - General Surgery, MCh - Urology",50 years experience overall,"Pusa Road,",Delhi,56% ,3 Patient Stories,₹1500
Dr. Arun Antony,Urologist,"MCh - Urology/Genito-Urinary Surgery, MS - General Surgery, MBBS",13 years experience overall,"Pusa Road,",Delhi,99% ,180 Patient Stories,₹1200
Dr. Aman Gupta,Urologist,"MBBS, MS - General Surgery, MCh - Urology",21 years experience overall,"Vasant Kunj,",Delhi,97% ,11 Patient Stories,₹1000
Dr. Rajinder Yadav,Urologist,"MBBS, MS - General Surgery, MCh - Urology",49 years experience overall,"Shalimar Bagh,",Delhi,61% ,12 Patient Stories,₹1500
Dr. Gautam Banga,Urologist,"MBBS, MS - General Surgery, MCh - Urology",17 years experience overall,"Greater Kailash Part 1,",Delhi,91% ,28 Patient Stories,₹1300
Dr. Rajesh Taneja,Urologist,"MBBS, MS - General Surgery, MCh - Urology",36 years experience overall,"Sarita Vihar,",Delhi,80% ,4 Patient Stories,₹1500
Dr. Parag Gupta,Urologist,"MBBS, MS - General Surgery, MCh - Urology",24 years experience overall,"Janakpuri,",Delhi,93% ,287 Patient Stories,₹800
Dr. Pragnesh Desai,Urologist,"MCh - Urology, DNB - General Surgery, MBBS",18 years experience overall,"Panchsheel Park,",Delhi,100% ,2 Patient Stories,₹1000
Dr. Ashish Saini,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",19 years experience overall,"Greater Kailash Part 1,",Delhi,94% ,118 Patient Stories,₹1100
Dr. Vikas Jain,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",22 years experience overall,"Shalimar Bagh,",Delhi,100% ,,₹1500
Dr. Ajit Saxena,Urologist,"MBBS, MS - General Surgery, Diploma in Urology",35 years experience overall,"Sarita Vihar,",Delhi,50% ,4 Patient Stories,₹2000
Dr. Anshuman Agarwal,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",26 years experience overall,"Sarita Vihar,",Delhi,90% ,18 Patient Stories,₹1500
Dr. Ashish Sabharwal,Urologist,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS",18 years experience overall,"Sarita Vihar,",Delhi,62% ,8 Patient Stories,₹2000
